"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check elements on Homepage","1704","Check elements on Homepage","TestRail Smoke Test","Wed Jan 22 18:43:18 GMT 2025","passed","Wed Jan 22 18:43:19 GMT 2025","tests.HomepageTest","Thread#1","tests.HomepageTest","checkHomepageElements"
"Log in to the TestRail with valid credentials","2962","Log in to TestRail with valid credentials","TestRail Smoke Test","Wed Jan 22 18:43:10 GMT 2025","passed","Wed Jan 22 18:43:13 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithValidCredentials"
"Add 3rd Project with name and variables","3350","Add 3rd Project with name and variables","TestRail Smoke Test","Wed Jan 22 18:43:25 GMT 2025","passed","Wed Jan 22 18:43:29 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkAddingProjectWithVariables"
"Add the 1st Project in TestRail when projects are missing","2406","Add the 1st Project in TestRail when projects are missing","TestRail Smoke Test","Wed Jan 22 18:43:20 GMT 2025","passed","Wed Jan 22 18:43:22 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkCreatingFirstProjectInTestrail"
"Log in with empty password and valid email","998","Log in with empty password and valid email","TestRail Smoke Test","Wed Jan 22 18:43:14 GMT 2025","passed","Wed Jan 22 18:43:15 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyPassword"
"Add new Project with Test Case","4982","Add new Project with Test Case","TestRail Smoke Test","Wed Jan 22 18:43:39 GMT 2025","passed","Wed Jan 22 18:43:44 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkCreatingProjectWithTestCase"
"Log in with not valid credentials: email and password","1009","Log in with not valid credentials: email and password","TestRail Smoke Test","Wed Jan 22 18:43:16 GMT 2025","passed","Wed Jan 22 18:43:17 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithNotValidCredentials"
"Edit Test Case title in the already created Project","3721","Edit Test Case title in the already created Project","TestRail Smoke Test","Wed Jan 22 18:43:52 GMT 2025","passed","Wed Jan 22 18:43:56 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkEditingTitleTestCase"
"Create new 5th project and delete it","2736","Create new 5th project and delete it","TestRail Smoke Test","Wed Jan 22 18:43:35 GMT 2025","passed","Wed Jan 22 18:43:38 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkProjectDeleting"
"Add Project with two Test Cases and check validation for 'Title' field","8114","Add Project with two Test Cases and check validation for 'Title' field","TestRail Smoke Test","Wed Jan 22 18:43:44 GMT 2025","passed","Wed Jan 22 18:43:52 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkAddAnotherLinkAndValidationForRequiredField"
"Add Project with Test Case and delete Test Case","5896","Add Project with Test Case and delete Test Case test case","TestRail Smoke Test","Wed Jan 22 18:43:57 GMT 2025","passed","Wed Jan 22 18:44:02 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkCreatingProjectWithTestCaseAndDeleteTestCase"
"Log in with empty email and valid password","1018","Log in with empty email and valid password","TestRail Smoke Test","Wed Jan 22 18:43:15 GMT 2025","passed","Wed Jan 22 18:43:16 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyEmail"
"Edit Project name for the first project in the list","2904","Edit Project name for the first project in the list","TestRail Smoke Test","Wed Jan 22 18:43:29 GMT 2025","passed","Wed Jan 22 18:43:32 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkEditProjectName"
"Create new 4th project and cancel deleting of it","2733","Create new 4th project and cancel deleting of it","TestRail Smoke Test","Wed Jan 22 18:43:32 GMT 2025","passed","Wed Jan 22 18:43:35 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkCancelingProjectDeleting"
"Add 2nd project with name only","2386","Add 2nd Project with name only","TestRail Smoke Test","Wed Jan 22 18:43:23 GMT 2025","passed","Wed Jan 22 18:43:25 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkAddingProjectWithNameOnly"
