"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Add new Project with Test Case","5934","Add new Project with Test Case","TestRail Smoke Test","Mon Jan 20 07:35:57 GMT 2025","passed","Mon Jan 20 07:36:03 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkCreatingProjectWithTestCase"
"Add the 1st Project in TestRail when projects are missing","2632","Add the 1st Project in TestRail when projects are missing","TestRail Smoke Test","Mon Jan 20 07:35:37 GMT 2025","passed","Mon Jan 20 07:35:39 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkCreatingFirstProjectInTestrail"
"Add Project with Test Case and delete Test Case","6314","Add Project with Test Case and delete Test Case test case","TestRail Smoke Test","Mon Jan 20 07:36:34 GMT 2025","passed","Mon Jan 20 07:36:40 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkCreatingProjectWithTestCaseAndDeleteTestCase"
"Create new 4th project and cancel deleting of it","3246","Create new 4th project and cancel deleting of it","TestRail Smoke Test","Mon Jan 20 07:35:50 GMT 2025","passed","Mon Jan 20 07:35:53 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkCancelingProjectDeleting"
"Edit Project name for the first project in the list","3070","Edit Project name for the first project in the list","TestRail Smoke Test","Mon Jan 20 07:35:47 GMT 2025","passed","Mon Jan 20 07:35:50 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkEditProjectName"
"Log in with not valid credentials: email and password","1276","Log in with not valid credentials: email and password","TestRail Smoke Test","Mon Jan 20 07:35:33 GMT 2025","passed","Mon Jan 20 07:35:34 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithNotValidCredentials"
"Edit Test Case title in the already created Project","4003","Edit Test Case title in the already created Project","TestRail Smoke Test","Mon Jan 20 07:36:30 GMT 2025","passed","Mon Jan 20 07:36:34 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkEditingTitleTestCase"
"Add Project with two Test Cases and check validation for 'Title' field","9342","Add Project with two Test Cases and check validation for 'Title' field","TestRail Smoke Test","Mon Jan 20 07:36:20 GMT 2025","passed","Mon Jan 20 07:36:29 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkAddAnotherLinkAndValidationForRequiredField"
"Add 3rd Project with name and variables","3635","Add 3rd Project with name and variables","TestRail Smoke Test","Mon Jan 20 07:35:43 GMT 2025","passed","Mon Jan 20 07:35:46 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkAddingProjectWithVariables"
"Log in with empty email and valid password","1249","Log in with empty email and valid password","TestRail Smoke Test","Mon Jan 20 07:35:31 GMT 2025","passed","Mon Jan 20 07:35:32 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyEmail"
"Log in to the TestRail with valid credentials","3586","Log in to TestRail with valid credentials","TestRail Smoke Test","Mon Jan 20 07:35:25 GMT 2025","passed","Mon Jan 20 07:35:29 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithValidCredentials"
"Create new 5th project and delete it","3168","Create new 5th project and delete it","TestRail Smoke Test","Mon Jan 20 07:35:54 GMT 2025","passed","Mon Jan 20 07:35:57 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkProjectDeleting"
"Add 2nd project with name only","2813","Add 2nd Project with name only","TestRail Smoke Test","Mon Jan 20 07:35:40 GMT 2025","passed","Mon Jan 20 07:35:42 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkAddingProjectWithNameOnly"
"Log in with empty password and valid email","1365","Log in with empty password and valid email","TestRail Smoke Test","Mon Jan 20 07:35:29 GMT 2025","passed","Mon Jan 20 07:35:31 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyPassword"
"Check elements on Homepage","1952","Check elements on Homepage","TestRail Smoke Test","Mon Jan 20 07:35:34 GMT 2025","passed","Mon Jan 20 07:35:36 GMT 2025","tests.HomepageTest","Thread#1","tests.HomepageTest","checkHomepageElements"
