"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Add Project with two Test Cases and check validation for 'Title' field","8772","Add Project with two Test Cases and check validation for 'Title' field","TestRail Smoke Test","Mon Jan 20 15:45:42 GMT 2025","passed","Mon Jan 20 15:45:51 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkAddAnotherLinkAndValidationForRequiredField"
"Create new 4th project and cancel deleting of it","3012","Create new 4th project and cancel deleting of it","TestRail Smoke Test","Mon Jan 20 15:45:29 GMT 2025","passed","Mon Jan 20 15:45:32 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkCancelingProjectDeleting"
"Add Project with Test Case and delete Test Case","6492","Add Project with Test Case and delete Test Case test case","TestRail Smoke Test","Mon Jan 20 15:45:55 GMT 2025","passed","Mon Jan 20 15:46:02 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkCreatingProjectWithTestCaseAndDeleteTestCase"
"Add 2nd project with name only","2514","Add 2nd Project with name only","TestRail Smoke Test","Mon Jan 20 15:45:18 GMT 2025","passed","Mon Jan 20 15:45:21 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkAddingProjectWithNameOnly"
"Edit Test Case title in the already created Project","3982","Edit Test Case title in the already created Project","TestRail Smoke Test","Mon Jan 20 15:45:51 GMT 2025","passed","Mon Jan 20 15:45:55 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkEditingTitleTestCase"
"Create new 5th project and delete it","3459","Create new 5th project and delete it","TestRail Smoke Test","Mon Jan 20 15:45:32 GMT 2025","passed","Mon Jan 20 15:45:35 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkProjectDeleting"
"Add 3rd Project with name and variables","3541","Add 3rd Project with name and variables","TestRail Smoke Test","Mon Jan 20 15:45:21 GMT 2025","passed","Mon Jan 20 15:45:25 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkAddingProjectWithVariables"
"Log in with not valid credentials: email and password","1310","Log in with not valid credentials: email and password","TestRail Smoke Test","Mon Jan 20 15:45:12 GMT 2025","passed","Mon Jan 20 15:45:13 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithNotValidCredentials"
"Edit Project name for the first project in the list","3235","Edit Project name for the first project in the list","TestRail Smoke Test","Mon Jan 20 15:45:25 GMT 2025","passed","Mon Jan 20 15:45:28 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkEditProjectName"
"Log in to the TestRail with valid credentials","2081","Log in to TestRail with valid credentials","TestRail Smoke Test","Mon Jan 20 15:45:06 GMT 2025","passed","Mon Jan 20 15:45:08 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithValidCredentials"
"Add new Project with Test Case","5576","Add new Project with Test Case","TestRail Smoke Test","Mon Jan 20 15:45:36 GMT 2025","passed","Mon Jan 20 15:45:41 GMT 2025","tests.TestCaseActionsTest","Thread#1","tests.TestCaseActionsTest","checkCreatingProjectWithTestCase"
"Add the 1st Project in TestRail when projects are missing","2491","Add the 1st Project in TestRail when projects are missing","TestRail Smoke Test","Mon Jan 20 15:45:15 GMT 2025","passed","Mon Jan 20 15:45:18 GMT 2025","tests.ProjectActionsTest","Thread#1","tests.ProjectActionsTest","checkCreatingFirstProjectInTestrail"
"Log in with empty email and valid password","1257","Log in with empty email and valid password","TestRail Smoke Test","Mon Jan 20 15:45:10 GMT 2025","passed","Mon Jan 20 15:45:11 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyEmail"
"Log in with empty password and valid email","1270","Log in with empty password and valid email","TestRail Smoke Test","Mon Jan 20 15:45:08 GMT 2025","passed","Mon Jan 20 15:45:10 GMT 2025","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithEmptyPassword"
"Check elements on Homepage","1844","Check elements on Homepage","TestRail Smoke Test","Mon Jan 20 15:45:13 GMT 2025","passed","Mon Jan 20 15:45:15 GMT 2025","tests.HomepageTest","Thread#1","tests.HomepageTest","checkHomepageElements"
